Date,CCL
2010-02-22,3.91279
2010-02-26,3.93158
2010-03-09,3.89342
2010-03-12,3.89512
2010-03-16,3.91014
2010-03-17,3.92048
2010-03-25,3.85003
2010-04-09,3.87126
2010-04-12,3.8994
2010-04-13,3.86548
2010-04-19,3.86787
2010-04-27,3.85505
2010-05-03,3.91539
2010-05-04,3.87578
2010-05-05,3.93548
2010-05-10,3.94962
2010-05-11,3.8882
2010-06-09,3.99199
2010-07-01,3.98551
2010-07-06,3.93636
2010-07-14,3.93832
2010-07-23,3.92726
2010-07-26,3.91477
2010-07-27,3.92045
2010-07-29,3.91477
2010-07-30,3.96552
2010-08-12,3.96271
2010-08-17,3.89532
2010-08-18,3.91185
2010-08-25,3.85667
2010-08-31,3.93182
2010-09-09,3.96296
2010-09-10,3.95341
2010-09-13,3.94944
2010-09-20,3.94102
2010-09-21,3.91234
2010-09-22,3.92262
2010-09-30,3.93018
2010-10-06,3.95071
2010-10-19,3.89757
2010-10-21,3.90261
2010-10-26,3.95386
2010-11-02,3.91664
2010-11-04,3.97275
2010-11-09,3.89691
2010-11-10,3.86186
2010-11-11,3.97665
2010-11-12,3.97655
2010-11-15,3.96681
2010-11-16,3.96748
2010-12-10,4.02028
2010-12-21,4.00942
2010-12-23,3.97949
2011-01-04,3.9697
2011-01-17,4.01786
2011-01-18,4.00508
2011-01-20,4.02051
2011-01-21,4.03601
2011-01-26,4.05361
2011-01-27,4.03814
2011-01-28,4.11733
2011-01-31,4.08995
2011-02-02,4.13263
2011-02-07,4.10966
2011-02-08,4.11518
2011-02-14,4.13158
2011-02-16,4.13158
2011-02-22,4.16316
2011-02-23,4.19098
2011-02-24,4.2
2011-02-25,4.23936
2011-02-28,4.20635
2011-03-03,4.19271
2011-03-09,4.20187
2011-03-10,4.21503
2011-03-11,4.21503
2011-03-14,4.22461
2011-03-15,4.21684
2011-03-16,4.23617
2011-03-17,4.2082
2011-03-18,4.20681
2011-03-22,4.21036
2011-03-23,4.21031
2011-03-28,4.18581
2011-04-04,4.1299
2011-04-07,4.1478
2011-04-08,4.20545
2011-04-12,4.21025
2011-04-13,4.18653
2011-04-14,4.22373
2011-04-15,4.23081
2011-04-20,4.23579
2011-04-25,4.23238
2011-04-29,4.23896
2011-05-03,4.26423
2011-05-09,4.26804
2011-05-10,4.35221
2011-05-19,4.3551
2011-05-24,4.42051
2011-05-26,4.46058
2011-06-03,4.34367
2011-06-06,4.3299
2011-06-07,4.32474
2011-06-08,4.34917
2011-06-10,4.31224
2011-06-22,4.31756
2011-06-28,4.24413
2011-06-30,4.22727
2011-07-01,4.20641
2011-07-04,4.2025
2011-07-05,4.23116
2011-07-12,4.24197
2011-07-13,4.24121
2011-07-14,4.22864
2011-07-15,4.22864
2011-07-18,4.24181
2011-07-19,4.23193
2011-07-20,4.23848
2011-07-21,4.2485
2011-07-22,4.22056
2011-07-26,4.18657
2011-08-01,4.26507
2011-08-02,4.25935
2011-08-03,4.2672
2011-08-04,4.29723
2011-08-05,4.37949
2011-08-08,4.26735
2011-08-09,4.3201
2011-08-10,4.32558
2011-08-11,4.33679
2011-08-12,4.33419
2011-08-15,4.31897
2011-08-16,4.34917
2011-08-17,4.35567
2011-08-18,4.34197
2011-08-23,4.40475
2011-08-24,4.40526
2011-08-26,4.37403
2011-08-29,4.4151
2011-08-30,4.43005
2011-08-31,4.42894
2011-09-01,4.38755
2011-09-07,4.48438
2011-09-09,4.49323
2011-09-14,4.53931
2011-09-16,4.5681
2011-09-20,4.61001
2011-09-21,4.62473
2011-09-22,4.61708
2011-09-23,4.67865
2011-09-26,4.60387
2011-09-27,4.65121
2011-09-28,4.67516
2011-09-29,4.69096
2011-10-03,4.6747
2011-10-04,4.64863
2011-10-06,4.6303
2011-10-07,4.52663
2011-10-11,4.53488
2011-10-13,4.56818
2011-10-18,4.74432
2011-10-19,4.7563
2011-10-20,4.75312
2011-10-21,4.72316
2011-10-24,4.71709
2011-10-28,4.85519
2011-10-31,5.06111
2011-11-01,4.8427
2011-11-02,4.65922
2011-11-03,4.72527
2011-11-07,4.75138
2011-11-08,4.71226
2011-11-11,4.80337
2011-11-14,4.78258
2011-11-16,4.58082
2011-11-17,4.60773
2011-11-23,4.39011
2011-11-29,4.60511
2011-11-30,4.59101
2011-12-01,4.67416
2011-12-02,4.65295
2011-12-06,4.72222
2011-12-13,4.60541
2011-12-15,4.66188
2011-12-20,4.67391
