Date,Ticker,Price
2024-01-02,NVDA,48.14
2024-01-03,NVDA,47.55
2024-01-04,NVDA,47.97
2024-01-05,NVDA,49.07
2024-01-08,NVDA,52.23
2024-01-09,NVDA,53.11
2024-01-10,NVDA,54.32
2024-01-11,NVDA,54.79
2024-01-12,NVDA,54.68
2024-01-16,NVDA,56.35
2024-01-17,NVDA,56.02
2024-01-18,NVDA,57.08
2024-01-19,NVDA,59.46
2024-01-22,NVDA,59.62
2024-01-23,NVDA,59.84
2024-01-24,NVDA,61.33
2024-01-25,NVDA,61.59
2024-01-26,NVDA,61.0
2024-01-29,NVDA,62.43
2024-01-30,NVDA,62.74
2024-01-31,NVDA,61.5
2024-02-01,NVDA,63.0
2024-02-02,NVDA,66.13
2024-02-05,NVDA,69.3
2024-02-06,NVDA,68.19
2024-02-07,NVDA,70.06
2024-02-08,NVDA,69.61
2024-02-09,NVDA,72.1
2024-02-12,NVDA,72.21
2024-02-13,NVDA,72.09
2024-02-14,NVDA,73.86
2024-02-15,NVDA,72.62
2024-02-16,NVDA,72.58
2024-02-20,NVDA,69.42
2024-02-21,NVDA,67.44
2024-02-22,NVDA,78.5
2024-02-23,NVDA,78.78
2024-02-26,NVDA,79.05
2024-02-27,NVDA,78.66
2024-02-28,NVDA,77.62
2024-02-29,NVDA,79.07
2024-03-01,NVDA,82.24
2024-03-04,NVDA,85.19
2024-03-05,NVDA,85.92
2024-03-06,NVDA,88.66
2024-03-07,NVDA,92.63
2024-03-08,NVDA,87.49
2024-03-11,NVDA,85.74
2024-03-12,NVDA,91.87
2024-03-13,NVDA,90.85
2024-03-14,NVDA,87.9
2024-03-15,NVDA,87.8
2024-03-18,NVDA,88.41
2024-03-19,NVDA,89.36
2024-03-20,NVDA,90.33
2024-03-21,NVDA,91.39
2024-03-22,NVDA,94.25
2024-03-25,NVDA,94.96
2024-03-26,NVDA,92.52
2024-03-27,NVDA,90.21
2024-03-28,NVDA,90.31
2024-04-01,NVDA,90.32
2024-04-02,NVDA,89.41
2024-04-03,NVDA,88.92
2024-04-04,NVDA,85.87
2024-04-05,NVDA,87.97
2024-04-08,NVDA,87.09
2024-04-09,NVDA,85.32
2024-04-10,NVDA,87.0
2024-04-11,NVDA,90.57
2024-04-12,NVDA,88.15
2024-04-15,NVDA,85.96
2024-04-16,NVDA,87.38
2024-04-17,NVDA,84.0
2024-04-18,NVDA,84.63
2024-04-19,NVDA,76.17
2024-04-22,NVDA,79.48
2024-04-23,NVDA,82.39
2024-04-24,NVDA,79.64
2024-04-25,NVDA,82.59
2024-04-26,NVDA,87.7
2024-04-29,NVDA,87.72
2024-04-30,NVDA,86.36
2024-05-01,NVDA,83.0
2024-05-02,NVDA,85.78
2024-05-03,NVDA,88.75
2024-05-06,NVDA,92.1
2024-05-07,NVDA,90.51
2024-05-08,NVDA,90.37
2024-05-09,NVDA,88.71
2024-05-10,NVDA,89.84
2024-05-13,NVDA,90.36
2024-05-14,NVDA,91.31
2024-05-15,NVDA,94.59
2024-05-16,NVDA,94.32
2024-05-17,NVDA,92.44
2024-05-20,NVDA,94.74
2024-05-21,NVDA,95.34
2024-05-22,NVDA,94.91
2024-05-23,NVDA,103.75
2024-05-24,NVDA,106.42
2024-05-28,NVDA,113.85
2024-05-29,NVDA,114.77
2024-05-30,NVDA,110.45
2024-05-31,NVDA,109.58
2024-06-03,NVDA,114.95
2024-06-04,NVDA,116.38
2024-06-05,NVDA,122.38
2024-06-06,NVDA,120.94
2024-06-07,NVDA,120.83
2024-06-10,NVDA,121.73
2024-06-11,NVDA,120.87
2024-06-12,NVDA,125.15
2024-06-13,NVDA,129.56
2024-06-14,NVDA,131.83
2024-06-17,NVDA,130.93
2024-06-18,NVDA,135.53
2024-06-20,NVDA,130.73
2024-06-21,NVDA,126.52
2024-06-24,NVDA,118.07
2024-06-25,NVDA,126.04
2024-06-26,NVDA,126.35
2024-06-27,NVDA,123.94
2024-06-28,NVDA,123.49
2024-07-01,NVDA,124.25
2024-07-02,NVDA,122.62
2024-07-03,NVDA,128.23
2024-07-05,NVDA,125.78
2024-07-08,NVDA,128.15
2024-07-09,NVDA,131.33
2024-07-10,NVDA,134.86
2024-07-11,NVDA,127.35
2024-07-12,NVDA,129.19
2024-07-15,NVDA,128.39
2024-07-16,NVDA,126.31
2024-07-17,NVDA,117.95
2024-07-18,NVDA,121.04
2024-07-19,NVDA,117.89
2024-07-22,NVDA,123.49
2024-07-23,NVDA,122.54
2024-07-24,NVDA,114.21
2024-07-25,NVDA,112.24
2024-07-26,NVDA,113.02
2024-07-29,NVDA,111.55
2024-07-30,NVDA,103.69
2024-07-31,NVDA,116.98
2024-08-01,NVDA,109.17
2024-08-02,NVDA,107.23
2024-08-05,NVDA,100.41
2024-08-06,NVDA,104.21
2024-08-07,NVDA,98.87
2024-08-08,NVDA,104.93
2024-08-09,NVDA,104.71
2024-08-12,NVDA,108.98
2024-08-13,NVDA,116.1
2024-08-14,NVDA,118.04
2024-08-15,NVDA,122.81
2024-08-16,NVDA,124.53
2024-08-19,NVDA,129.95
2024-08-20,NVDA,127.2
2024-08-21,NVDA,128.45
2024-08-22,NVDA,123.69
2024-08-23,NVDA,129.32
2024-08-26,NVDA,126.41
2024-08-27,NVDA,128.25
2024-08-28,NVDA,125.56
2024-08-29,NVDA,117.55
2024-08-30,NVDA,119.33
2024-09-03,NVDA,107.96
2024-09-04,NVDA,106.17
2024-09-05,NVDA,107.17
2024-09-06,NVDA,102.79
2024-09-09,NVDA,106.43
2024-09-10,NVDA,108.06
2024-09-11,NVDA,116.87
2024-09-12,NVDA,119.11
2024-09-13,NVDA,119.07
2024-09-16,NVDA,116.75
2024-09-17,NVDA,115.56
2024-09-18,NVDA,113.34
2024-09-19,NVDA,117.84
2024-09-20,NVDA,115.97
2024-09-23,NVDA,116.23
2024-09-24,NVDA,120.84
2024-09-25,NVDA,123.47
