Ticker,Rendimiento_Acumulado_2024,Inflacion_Acumulada_2024,Le_Gano_A_Inflacion
AAPL,46.54,119.83,False
AMZN,32.72,119.83,False
AVGO,143.9,119.83,True
BRK-B,31.14,119.83,False
COIN,84.57,119.83,False
DIA,20.05,119.83,False
GGAL,318.11,119.83,True
GOOG,39.98,119.83,False
HUT,110.6,119.83,False
KO,7.49,119.83,False
META,49.65,119.83,False
MRVL,96.39,119.83,False
MSTR,465.26,119.83,True
NVDA,225.03,119.83,True
PAM,88.99,119.83,False
PEP,-8.96,119.83,False
PFE,-7.64,119.83,False
PLTR,411.01,119.83,True
QQQ,34.34,119.83,False
SPOT,125.3,119.83,True
SPY,31.35,119.83,False
TSLA,76.94,119.83,False
YPF,174.27,119.83,True
