Ticker,Mes,Precio_Inicial,Precio_Final,Rendimiento,Inflacion_Mensual,Le_Gano_A_Inflacion,Rendimiento_Acumulado_2024,Inflacion_Acumulada_2024
AAPL,2024-01-01,18366.52569,22863.278700000003,24.48,20.6,True,46.54,119.83
AAPL,2024-02-01,23751.791,19254.70118,-18.93,13.2,False,46.54,119.83
AAPL,2024-03-01,19464.3271,18505.7565,-4.92,11.0,False,46.54,119.83
AAPL,2024-04-01,18349.4157,18487.80545,0.75,8.8,False,46.54,119.83
AAPL,2024-05-01,18375.3346,23870.629120000005,29.91,4.2,True,46.54,119.83
AAPL,2024-06-01,25058.03811,28303.07711999999,12.95,4.6,True,46.54,119.83
AAPL,2024-07-01,30468.097240000003,28401.3882,-6.78,3.9,False,46.54,119.83
AAPL,2024-08-01,28302.88416,29638.8442,4.72,3.6,True,46.54,119.83
AAPL,2024-09-01,28923.0771,28877.15532,-0.16,3.4,False,46.54,119.83
AAPL,2024-10-01,28094.99628,26067.54528,-7.22,3.3,False,46.54,119.83
AAPL,2024-11-01,26138.92562,26278.93944,0.54,3.2,False,46.54,119.83
AAPL,2024-12-01,26277.23742,29861.97187,13.64,3.1,True,46.54,119.83
AMZN,2024-01-01,1037.6509534722222,1346.0905555555555,29.72,20.6,True,32.72,119.83
AMZN,2024-02-01,1416.286788888889,1315.5485749999998,-7.11,13.2,False,32.72,119.83
AMZN,2024-03-01,1348.9645069444443,1359.990041666667,0.82,11.0,False,32.72,119.83
AMZN,2024-04-01,1364.4383958333335,1327.0225694444443,-2.74,8.8,False,32.72,119.83
AMZN,2024-05-01,1357.354513888889,1528.4360055555558,12.6,4.2,True,32.72,119.83
AMZN,2024-06-01,1606.8805541666668,1811.826111111111,12.75,4.6,True,32.72,119.83
AMZN,2024-07-01,1934.0116111111108,1668.3290499999998,-13.74,3.9,False,32.72,119.83
AMZN,2024-08-01,1664.6063666666666,1609.983229166667,-3.28,3.6,False,32.72,119.83
AMZN,2024-09-01,1594.6953125000002,1609.3477375,0.92,3.4,False,32.72,119.83
AMZN,2024-10-01,1602.3258625,1498.889,-6.46,3.3,False,32.72,119.83
AMZN,2024-11-01,1617.445473611111,1602.3987958333337,-0.93,3.2,False,32.72,119.83
AMZN,2024-12-01,1608.7415847222223,1824.080618055556,13.39,3.1,True,32.72,119.83
AVGO,2024-01-01,5307.94486,7232.044975,36.25,20.6,True,143.9,119.83
AVGO,2024-02-01,7539.753170000001,6839.244994999999,-9.29,13.2,False,143.9,119.83
AVGO,2024-03-01,7483.5967,7091.24955,-5.24,11.0,False,143.9,119.83
AVGO,2024-04-01,7224.2478,6996.669625,-3.15,8.8,False,143.9,119.83
AVGO,2024-05-01,6688.19375,8166.858740000001,22.11,4.2,True,143.9,119.83
AVGO,2024-06-01,8452.368315,10715.58496,26.78,4.6,True,143.9,119.83
AVGO,2024-07-01,11455.54699,10206.12654,-10.91,3.9,False,143.9,119.83
AVGO,2024-08-01,9464.68032,10454.771095,10.46,3.6,True,143.9,119.83
AVGO,2024-09-01,9841.45515,10641.43944,8.13,3.4,True,143.9,119.83
AVGO,2024-10-01,10352.72321,9750.43377,-5.82,3.3,False,143.9,119.83
AVGO,2024-11-01,9859.31609,8922.80766,-9.5,3.2,False,143.9,119.83
AVGO,2024-12-01,9080.10978,13906.07188,53.15,3.1,True,143.9,119.83
BRK-B,2024-01-01,18061.56303,23963.60365,32.68,20.6,True,31.14,119.83
BRK-B,2024-02-01,24740.275240000003,21938.3131,-11.33,13.2,False,31.14,119.83
BRK-B,2024-03-01,22186.477225,22827.9282,2.89,11.0,False,31.14,119.83
