Date,Price,Ticker,Price,Price,Price,Price,Price,Price,Price,Price,Price,Price,Price,Price,Price,Price,Price,Price,Price,Price,Price,Price,Price,Price
,NVDA,,AAPL,PAM,GOOG,AMZN,TSLA,MSTR,SPY,SPOT,QQQ,KO,DIA,META,BRK-B,PLTR,PEP,GGAL,HUT,COIN,MRVL,PFE,AVGO,YPF
2024-01-02,,AAPL,184.29042053222656,,,,,,,,,,,,,,,,,,,,,
2024-01-02,,AMZN,,,,149.92999267578125,,,,,,,,,,,,,,,,,,
2024-01-02,,AVGO,,,,,,,,,,,,,,,,,,,,,106.52169036865234,
2024-01-02,,BRK-B,,,,,,,,,,,,,362.4599914550781,,,,,,,,,
2024-01-02,,COIN,,,,,,,,,,,,,,,,,,156.8800048828125,,,,
2024-01-02,,DIA,,,,,,,,,,,368.966552734375,,,,,,,,,,,
2024-01-02,,GGAL,,,,,,,,,,,,,,,,15.66137409210205,,,,,,
2024-01-02,,GOOG,,,138.73533630371094,,,,,,,,,,,,,,,,,,,
2024-01-02,,HUT,,,,,,,,,,,,,,,,,12.600000381469727,,,,,
2024-01-02,,KO,,,,,,,,,,57.215126037597656,,,,,,,,,,,,
2024-01-02,,META,,,,,,,,,,,,344.40057373046875,,,,,,,,,,
2024-01-02,,MRVL,,,,,,,,,,,,,,,,,,,57.868289947509766,,,
2024-01-02,,MSTR,,,,,,68.51499938964844,,,,,,,,,,,,,,,,
2024-01-02,48.14657211303711,NVDA,,,,,,,,,,,,,,,,,,,,,,
2024-01-02,,PAM,,48.220001220703125,,,,,,,,,,,,,,,,,,,,
2024-01-02,,PEP,,,,,,,,,,,,,,,164.27383422851562,,,,,,,
2024-01-02,,PFE,,,,,,,,,,,,,,,,,,,,27.045759201049805,,
2024-01-02,,PLTR,,,,,,,,,,,,,,16.579999923706055,,,,,,,,
2024-01-02,,QQQ,,,,,,,,,399.1674499511719,,,,,,,,,,,,,
2024-01-02,,SPOT,,,,,,,,188.8000030517578,,,,,,,,,,,,,,
2024-01-02,,SPY,,,,,,,463.8929748535156,,,,,,,,,,,,,,,
2024-01-02,,TSLA,,,,,248.4199981689453,,,,,,,,,,,,,,,,,
2024-01-02,,YPF,,,,,,,,,,,,,,,,,,,,,,16.520000457763672
2024-01-03,,AAPL,182.91050720214844,,,,,,,,,,,,,,,,,,,,,
2024-01-03,,AMZN,,,,148.47000122070312,,,,,,,,,,,,,,,,,,
2024-01-03,,AVGO,,,,,,,,,,,,,,,,,,,,,103.89147186279297,
2024-01-03,,BRK-B,,,,,,,,,,,,,366.75,,,,,,,,,
2024-01-03,,COIN,,,,,,,,,,,,,,,,,,152.24000549316406,,,,
2024-01-03,,DIA,,,,,,,,,,,366.1486511230469,,,,,,,,,,,
2024-01-03,,GGAL,,,,,,,,,,,,,,,,15.495156288146973,,,,,,
2024-01-03,,GOOG,,,139.53060913085938,,,,,,,,,,,,,,,,,,,
2024-01-03,,HUT,,,,,,,,,,,,,,,,,12.329999923706055,,,,,
2024-01-03,,KO,,,,,,,,,,57.349029541015625,,,,,,,,,,,,
2024-01-03,,META,,,,,,,,,,,,342.59051513671875,,,,,,,,,,
2024-01-03,,MRVL,,,,,,,,,,,,,,,,,,,56.465599060058594,,,
2024-01-03,,MSTR,,,,,,63.10599899291992,,,,,,,,,,,,,,,,
2024-01-03,47.5478401184082,NVDA,,,,,,,,,,,,,,,,,,,,,,
2024-01-03,,PAM,,48.4900016784668,,,,,,,,,,,,,,,,,,,,
2024-01-03,,PEP,,,,,,,,,,,,,,,164.31185913085938,,,,,,,
2024-01-03,,PFE,,,,,,,,,,,,,,,,,,,,27.045759201049805,,
2024-01-03,,PLTR,,,,,,,,,,,,,,16.09000015258789,,,,,,,,
2024-01-03,,QQQ,,,,,,,,,394.9436340332031,,,,,,,,,,,,,
2024-01-03,,SPOT,,,,,,,,187.94000244140625,,,,,,,,,,,,,,
2024-01-03,,SPY,,,,,,,460.10443115234375,,,,,,,,,,,,,,,
2024-01-03,,TSLA,,,,,238.4499969482422,,,,,,,,,,,,,,,,,
2024-01-03,,YPF,,,,,,,,,,,,,,,,,,,,,,16.770000457763672
2024-01-04,,AAPL,180.58755493164062,,,,,,,,,,,,,,,,,,,,,
2024-01-04,,AMZN,,,,144.57000732421875,,,,,,,,,,,,,,,,,,
2024-01-04,,AVGO,,,,,,,,,,,,,,,,,,,,,102.9522476196289,
2024-01-04,,BRK-B,,,,,,,,,,,,,363.67999267578125,,,,,,,,,
2024-01-04,,COIN,,,,,,,,,,,,,,,,,,155.60000610351562,,,,
2024-01-04,,DIA,,,,,,,,,,,366.4715881347656,,,,,,,,,,,
2024-01-04,,GGAL,,,,,,,,,,,,,,,,14.996503829956055,,,,,,
2024-01-04,,GOOG,,,137.2243194580078,,,,,,,,,,,,,,,,,,,
2024-01-04,,HUT,,,,,,,,,,,,,,,,,12.529999732971191,,,,,
2024-01-04,,KO,,,,,,,,,,57.157737731933594,,,,,,,,,,,,
2024-01-04,,META,,,,,,,,,,,,345.22607421875,,,,,,,,,,
2024-01-04,,MRVL,,,,,,,,,,,,,,,,,,,57.82993698120117,,,
2024-01-04,,MSTR,,,,,,65.58100128173828,,,,,,,,,,,,,,,,
2024-01-04,47.976654052734375,NVDA,,,,,,,,,,,,,,,,,,,,,,
2024-01-04,,PAM,,47.7400016784668,,,,,,,,,,,,,,,,,,,,
2024-01-04,,PEP,,,,,,,,,,,,,,,162.90576171875,,,,,,,
2024-01-04,,PFE,,,,,,,,,,,,,,,,,,,,26.463544845581055,,
2024-01-04,,PLTR,,,,,,,,,,,,,,16.25,,,,,,,,
2024-01-04,,QQQ,,,,,,,,,392.9111022949219,,,,,,,,,,,,,
2024-01-04,,SPOT,,,,,,,,192.5800018310547,,,,,,,,,,,,,,
2024-01-04,,SPY,,,,,,,458.6224365234375,,,,,,,,,,,,,,,
2024-01-04,,TSLA,,,,,237.92999267578125,,,,,,,,,,,,,,,,,
2024-01-04,,YPF,,,,,,,,,,,,,,,,,,,,,,16.229999542236328
2024-01-05,,AAPL,179.86282348632812,,,,,,,,,,,,,,,,,,,,,
2024-01-05,,AMZN,,,,145.24000549316406,,,,,,,,,,,,,,,,,,
2024-01-05,,AVGO,,,,,,,,,,,,,,,,,,,,,102.978759765625,
2024-01-05,,BRK-B,,,,,,,,,,,,,365.5899963378906,,,,,,,,,
2024-01-05,,COIN,,,,,,,,,,,,,,,,,,153.97999572753906,,,,
2024-01-05,,DIA,,,,,,,,,,,366.5694274902344,,,,,,,,,,,
2024-01-05,,GGAL,,,,,,,,,,,,,,,,15.227361679077148,,,,,,
2024-01-05,,GOOG,,,136.57815551757812,,,,,,,,,,,,,,,,,,,
2024-01-05,,HUT,,,,,,,,,,,,,,,,,11.899999618530273,,,,,
2024-01-05,,KO,,,,,,,,,,57.07164764404297,,,,,,,,,,,,
2024-01-05,,META,,,,,,,,,,,,350.0297546386719,,,,,,,,,,
2024-01-05,,MRVL,,,,,,,,,,,,,,,,,,,59.67228698730469,,,
2024-01-05,,MSTR,,,,,,63.108001708984375,,,,,,,,,,,,,,,,
2024-01-05,49.07516098022461,NVDA,,,,,,,,,,,,,,,,,,,,,,
2024-01-05,,PAM,,48.16999816894531,,,,,,,,,,,,,,,,,,,,
2024-01-05,,PEP,,,,,,,,,,,,,,,160.5021209716797,,,,,,,
2024-01-05,,PFE,,,,,,,,,,,,,,,,,,,,26.809232711791992,,
2024-01-05,,PLTR,,,,,,,,,,,,,,15.979999542236328,,,,,,,,
2024-01-05,,QQQ,,,,,,,,,393.3770751953125,,,,,,,,,,,,,
2024-01-05,,SPOT,,,,,,,,193.52000427246094,,,,,,,,,,,,,,
2024-01-05,,SPY,,,,,,,459.2505798339844,,,,,,,,,,,,,,,
2024-01-05,,TSLA,,,,,237.49000549316406,,,,,,,,,,,,,,,,,
2024-01-05,,YPF,,,,,,,,,,,,,,,,,,,,,,16.700000762939453
2024-01-08,,AAPL,184.2109832763672,,,,,,,,,,,,,,,,,,,,,
2024-01-08,,AMZN,,,,149.10000610351562,,,,,,,,,,,,,,,,,,
2024-01-08,,AVGO,,,,,,,,,,,,,,,,,,,,,105.48825073242188,
2024-01-08,,BRK-B,,,,,,,,,,,,,368.17999267578125,,,,,,,,,
2024-01-08,,COIN,,,,,,,,,,,,,,,,,,159.4199981689453,,,,
2024-01-08,,DIA,,,,,,,,,,,368.7219543457031,,,,,,,,,,,
2024-01-08,,GGAL,,,,,,,,,,,,,,,,15.328939437866211,,,,,,
2024-01-08,,GOOG,,,139.69960021972656,,,,,,,,,,,,,,,,,,,
2024-01-08,,HUT,,,,,,,,,,,,,,,,,12.0,,,,,
2024-01-08,,KO,,,,,,,,,,57.492496490478516,,,,,,,,,,,,
2024-01-08,,META,,,,,,,,,,,,356.703125,,,,,,,,,,
2024-01-08,,MRVL,,,,,,,,,,,,,,,,,,,63.844966888427734,,,
